 contours_points,amount_contours,contour_length_area_ratio,contour_length_rect_area_ratio,contour_length_hull_area_ratio,contour_rect_length_ratio,contour_hull_length_ratio,extent,solidity,aspect_ratio,hull_rectangle_ratio,corners,harris_corners,type 
 1581,1,0.029372753,0.025632329,0.025639427,1.634060983,1.639124821,0.872656671,0.872898303,1,0.999723183,52,179,0 
 611,2,0.044990456,0.026889839,0.035094342,0.972356969,1.118845283,0.59767874,0.780039698,2.796610092,0.766215798,74,1229,0 
 1478,1,0.026419692,0.023583308,0.02358349,1.503435896,1.504299816,0.892641292,0.892648156,1,0.999992311,49,185,0 
 1573,1,0.029214156,0.025394638,0.02539874,1.618908195,1.622701222,0.869257978,0.869398365,1,0.999838524,57,249,0 
 1822,4,0.038338813,0.029536075,0.029830821,1.882924561,1.94400196,0.770396186,0.778084107,1,0.990119422,68,299,0 
 1015,2,0.015666167,0.015641231,0.015659896,0.997128498,1.001645095,0.998408304,0.999599677,1,0.998808151,59,144,0 
 680,8,0.070873643,0.040424019,0.05414971,1.185301089,1.411024449,0.570367452,0.764031693,0.339543695,0.746523288,77,1138,0 
 1847,4,0.042351894,0.030181708,0.031027969,1.924083899,2.001556285,0.712641292,0.732622942,1,0.972725875,78,382,0 
 1950,2,0.043817873,0.031670163,0.031689413,2.018972916,2.024606505,0.722768166,0.723207485,1,0.999392541,74,303,0 
 1657,1,0.035028199,0.026839337,0.027220905,1.711007542,1.742515226,0.766220868,0.777114024,1,0.98598255,56,91,0 
 1007,2,0.015634441,0.015569166,0.015626357,0.992534213,1.005013633,0.995824921,0.999482921,1,0.996340108,49,178,0 
 1684,1,0.033912248,0.02769409,0.02769409,1.765498253,1.765498253,0.816639754,0.816639754,1,1,48,210,0 
 1561,1,0.030036648,0.025018998,0.025077806,1.594960929,1.611236914,0.832949065,0.834906933,1,0.997654987,46,72,0 
 615,2,0.048085574,0.030023892,0.039099691,1.052913781,1.237187865,0.624384601,0.813127241,2.33248057,0.76788056,26,353,0 
 1012,2,0.015685276,0.015639686,0.015660036,0.997029963,1.003522363,0.997093426,0.998390835,1,0.9987005,32,138,0 
 589,2,0.061326072,0.029519434,0.044602816,1.103301172,1.358301889,0.481352105,0.727305942,1.30336877,0.661828918,47,109,0 
 1009,2,0.015615156,0.015587183,0.01561251,0.993682814,1.001689447,0.99820862,0.999830559,1,0.998377786,38,126,0 
 709,15,0.043459068,0.026723837,0.035851675,1.063245651,1.239702235,0.614919697,0.824952701,0.375361121,0.745399944,96,2310,0 
 574,2,0.087195443,0.030613834,0.045921243,1.120118999,1.361988018,0.351094426,0.526647287,1.242030578,0.666659517,42,107,0 
 1006,2,0.015610568,0.015560154,0.015605753,0.991959794,1.003353522,0.996770473,0.999691525,1,0.997078047,38,153,0 
 1012,2,0.015795309,0.015662888,0.015772593,0.996547428,1.002341041,0.991616489,0.998561867,0.996078431,0.993044619,38,55,0 
 1506,1,0.028171813,0.025020388,0.025060464,1.595049557,1.607480608,0.888135545,0.889558078,1,0.998400854,34,120,0 
 409,3,0.061467421,0.045706305,0.056175347,1.047436161,1.225138984,0.743585859,0.913904407,0.44,0.813636364,29,104,0 
